date,location,total_rating,speed_small_rating,availability_small_rating,support_small_rating_tab,price_quality_small_rating,headline,summary
03 апреля в 18:32,г. Уральск,3.2,3,3,5,2,"
                    НЕ СТАБИЛЬНЫЙ                ","
                    Скорость лучше чем в КЗ телеком, но постоянно скачет, хотя использую их модем, тариф за 5500, Если играете во что-то, то там вас ждет тоже самое с пингом, в этом плане КЗ телеком стабильнее хоть и пинг за 100,тут же пинг всегда скачет от 80 до 300 спокойно может подняться раз 20 за один раунд в кс допустим, ну или пример с другом решили кооп игру поиграть он живет в Самаре расстояние небольшое, а пинг скачет так что играть не возможно, да даже на кз серверах он всегда скачет с 30 до 60 и из-за этого лагает и играть нереально, игра будто фризит хотя комп далеко не слабый и тянет все на ура фпс в онлайн играх от 250.                 "
30 марта в 11:08,г. Алматы,1,1,1,1,1,"
                    Очень слабая скорость мобильного интернета                ","
                    Очень плохая скорость интернета тариф яркий за 1990 промо, обновление приложения в 10 мегабайт обновляется минуту полторы, а когда и дольше, очень плохой интернет, был за 1390 более менее было, потом перевели на этот тариф стало совсем ужасно                 "
29 марта в 17:07,г. Караганда,1.2,1,2,1,1,"
                    Самый худший интернет провайдер                ","
                    3 месяца не могут решить проблему с обрывами, мастера ходят к нам чуть ли не каждую неделю, но ничего нормального не делают. Я уже сама предлагаю им поменять кабели везде — они говорят что с кабелями все ок. А почему тогда идут обрывы каждый час полтора?! Невозможно работать, невозможно заниматься! Помогает только перезагрузка роутера и то не всегда:/                 "
28 марта в 10:48,г. Караганда,4.2,4,5,3,5,"
                    Интернет                ","
                    Интернет там где я живу, очень хороший. При подключении данного беспроводного интернета было написано то что интернет 100 мб/с, и они не соврали! Интернет очень хороший, за год его отключали всего 1 раз и то на 30 минут. По соотношению цена/качество это очень хороший интернет. Недавно скачивал игру 27 гб, скачалась за 15-20 минут. В общем интернет очень хороший                 "
23 марта в 22:58,г. Караганда,1,1,1,1,1,"
                    Билайн                ","
                    Скорость интернета даже не пахнет их хваленными 100mb/s. Минимум раз в день пропадает интернет, появляется только после перезагрузки роутера. С ужасом представляем какую-то поломку ибо сидеть неделю без интернета в ожидании «мастера» такое себе развлечение. В начале мы совершили большую ошибку взяв в аренду их роутер, жили в постоянных перебоях связи с миром. Позже дошли к тому что будет лучше его выкинуть и купить нормальный роутер. Самое смешное и грустное одновременно, что данный провайдер — это лучшее что можно выбрать в этой стране…                 "
23 марта в 18:57,г. Алматы,1.2,1,2,1,1,"
                    Ужас.                ","
                    Интернет постоянно отключатеся, пинг скачет, скорость никакая.
По договору 150мбит/с, по факту 60-70, а временами вообще меньше 1.
Тех. поддержка никак не помогает. Оператор вешает лапшу на уши про какие-то обновления базы данных. КАЖДЫЙ ДЕНЬ ПО НЕСКОЛЬКУ РАЗ?!
Выбирайте любого другого провайдера, но только не этого.                 "
17 марта в 12:41,г. Нур-Султан,1,1,1,1,1,"
                    Ужасный провайдер                ","
                    Вечная потеря пакетов, перебои в сетях, мелкие аварии из-за которых интернета бывает по пол часа нет, пропажи денег со счетов, «специалисты» из подворотни, все это вы найдете в компании билайн!
А если честно, то всеми нахваленный билайн загибается не предоставляя элементарно 100 мбный канал, давая лишь 80, зачем и где он зажмотил остальные 20 мб я не знаю. Если подумаете установить это безобразие, то дважды подумайте, готовы ли вы воевать с вечно проблемным билайном.                 "
11 марта в 17:47,г. Атырау,1.5,2,2,1,1,"
                    Африканский интернет                ","
                    Интернет очень сильно лагает, каждые 10-15 минут пропадает связь, приходиться перезагружать роутер!                 "
11 марта в 17:01,г. Алматы,2.5,2,3,3,2,"
                    Пустой оператор                ","
                    Худший провайдер. После нового года, каждый день вечером пропадает на 10 минут интернет. Просто пустой провайдер.                 "
03 марта в 20:15,г. Алматы,1.5,1,3,1,1,"
","
                    Худший оператор. После нового года скорость интернета упала до дна. Входящий <1,5 МБит/с, исходящий 15-20 Мбит/с, ping более 100 мс — бред полнейший. Причём живу всего в 200-300 м от вышки сотовой связи. Не оператор, а аферист. Очень плохо. Ухожу к другому оператору.                 "
28 февраля в 00:05,г. Атырау,2,1,1,5,1,"
                    Ужасный интернет                 ","
                    Купил роутер Билайн Казахстан оплатил безлимит. Через день этот безлимит перестал работать. Город маленький, но платежеспособный. Нефтяная столица Казахстана. Неужели не могут улучшить интернет. Программы Проверки скорости интернета не могут даже найти моего провайдера Билайн Казахстан, не говоря уже о том чтобы замерить скорость интернета.                 "
26 февраля в 13:44,г. Павлодар,2,2,4,1,1,"
                    нестабилность и игнор поддержки                ","
                    нестабилно себя ведет (от 100 до 50000!)

выключается и включается самопроизвольно

полный игнор службы поддержки и халтурность провайдера

ценф большая, а качевства нема                 "
25 февраля в 20:43,г. Тараз,2.2,1,3,4,1,"
                    Самый убогий интернет которую вы можете подключить                ","
                    Абсолютно в любое время может упасть скорость интернета. И это может повторятся не один раз повторятся в день. И появляется вопрос, за что я плачу 5.000 в месяц? К вечеру я вообще молчу, будьте готовы к тому, что бы [ЦЕНЗУРА] лапу и колдовать что бы скорость интернета хоть не много повысился.                 "
